market,symbol,phase,pip_or_tick_size,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,trades,wins,losses,win_rate_pct,profit_factor,avg_pips
forex,AUDUSD,mean_reversion,0.0001,2.0,16,1.5,0.0,0.15,65,50,15,76.92307692307693,1.3942288978990856,2.6956723076922993
forex,AUDUSD,mean_reversion,0.0001,2.5,6,,,,291,206,85,70.79037800687286,1.3931956932963563,3.560843298969045
forex,AUDUSD,mean_reversion,0.0001,2.5,10,,,,290,205,85,70.6896551724138,1.3929593293502178,3.5709741379310103
forex,AUDUSD,mean_reversion,0.0001,2.0,6,2.0,0.0,0.15,77,59,18,76.62337662337663,1.3927505164490883,2.67304675324675
forex,AUDUSD,mean_reversion,0.0001,2.0,10,2.0,-0.1,0.25,157,120,37,76.43312101910828,1.3885714168155925,2.88729426751589
forex,AUDUSD,mean_reversion,0.0001,1.5,6,,-0.2,0.4,320,239,81,74.6875,1.3878000682531348,3.586985937500009
forex,AUDUSD,mean_reversion,0.0001,1.5,10,0.75,-0.1,0.25,97,76,21,78.35051546391753,1.38395996102594,2.1856505154639705
forex,AUDUSD,mean_reversion,0.0001,2.0,10,2.0,0.0,0.15,77,58,19,75.32467532467533,1.3812642409142823,2.600318181818184
forex,AUDUSD,mean_reversion,0.0001,2.5,16,,,,288,203,85,70.48611111111111,1.3808556283780444,3.485017708333307
forex,AUDUSD,mean_reversion,0.0001,2.5,24,,-0.2,0.4,250,182,68,72.8,1.3792493818015323,3.4617787999999683
forex,AUDUSD,mean_reversion,0.0001,2.5,16,,-0.1,0.1,75,57,18,76.0,1.3757218350493712,4.5993066666666715
forex,AUDUSD,mean_reversion,0.0001,2.0,16,1.5,-0.1,0.1,53,42,11,79.24528301886792,1.3712190853759358,2.8465471698113225
forex,AUDUSD,mean_reversion,0.0001,2.0,24,,,,314,229,85,72.92993630573248,1.3663455974358951,3.669679299363039
forex,AUDUSD,mean_reversion,0.0001,3.0,6,0.75,,,55,42,13,76.36363636363637,1.3599692654898625,2.3739599999999372
forex,AUDUSD,mean_reversion,0.0001,3.0,10,0.75,,,55,42,13,76.36363636363637,1.3599692654898625,2.3739599999999372
forex,AUDUSD,mean_reversion,0.0001,3.0,16,0.75,,,55,42,13,76.36363636363637,1.3599692654898625,2.3739599999999372
forex,AUDUSD,mean_reversion,0.0001,2.0,24,,-0.2,0.4,283,210,73,74.20494699646643,1.3522333592820117,3.4519155477031633
forex,AUDUSD,mean_reversion,0.0001,1.5,24,,,,311,224,87,72.02572347266882,1.351514939227502,3.8108742765273407
forex,AUDUSD,mean_reversion,0.0001,1.5,24,,-0.1,0.25,216,163,53,75.46296296296296,1.351284514887542,3.608749074074112
forex,AUDUSD,mean_reversion,0.0001,2.0,6,1.5,-0.1,0.25,134,105,29,78.35820895522389,1.349216324338157,2.5209410447761016
forex,AUDUSD,mean_reversion,0.0001,2.5,24,,-0.1,0.1,73,55,18,75.34246575342466,1.3463569801831872,4.356004109589048
forex,AUDUSD,mean_reversion,0.0001,2.0,10,1.5,-0.1,0.25,133,104,29,78.19548872180451,1.3445642224928849,2.5060601503759217
forex,AUDUSD,mean_reversion,0.0001,1.5,6,,-0.1,0.1,169,133,36,78.69822485207101,1.3439996833192887,3.445200591715993
forex,AUDUSD,mean_reversion,0.0001,1.5,10,0.75,-0.1,0.1,60,48,12,80.0,1.3427792949374806,2.115838333333434
forex,AUDUSD,mean_reversion,0.0001,2.0,16,,,,327,237,90,72.47706422018348,1.3425797516158564,3.4347724770641976
forex,AUDUSD,mean_reversion,0.0001,2.5,6,,-0.2,0.4,256,186,70,72.65625,1.342493281705344,3.1956589843749668
forex,AUDUSD,mean_reversion,0.0001,2.5,10,,-0.2,0.4,255,185,70,72.54901960784314,1.342232504279652,3.205748235294087
forex,AUDUSD,mean_reversion,0.0001,2.0,10,,,,332,241,91,72.59036144578313,1.3385455770286812,3.3579915662650364
forex,AUDUSD,mean_reversion,0.0001,2.5,24,3.0,-0.1,0.1,42,35,7,83.33333333333334,1.3381189735106553,3.328757142857149
forex,AUDUSD,mean_reversion,0.0001,2.0,10,2.0,,,204,153,51,75.0,1.3369821467010672,2.4863269607842766
forex,AUDUSD,mean_reversion,0.0001,2.0,6,,,,333,243,90,72.97297297297297,1.3363528149797839,3.3251120120119855
forex,AUDUSD,mean_reversion,0.0001,3.0,24,0.75,,,54,41,13,75.92592592592592,1.333809918578904,2.2422092592591953
forex,AUDUSD,mean_reversion,0.0001,1.5,24,,0.0,0.15,100,79,21,79.0,1.333786877371399,3.549499000000022
forex,AUDUSD,mean_reversion,0.0001,2.0,10,2.0,-0.2,0.4,199,149,50,74.87437185929649,1.3316299095361217,2.5074819095477006
forex,AUDUSD,mean_reversion,0.0001,1.5,10,,-0.1,0.1,167,131,36,78.44311377245509,1.3314627310816527,3.3593976047904337
