market,symbol,phase,pip_or_tick_size,entry_rank,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,trades,wins,losses,win_rate_pct,profit_factor,avg_pips,signal_exit_trades,signal_exit_win_rate_pct,signal_exit_profit_factor,signal_exit_avg_pips
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,4,5,113,62,51,54.86725663716814,0.9627435294117649,-0.08407433628318546,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,4,8,113,79,34,69.91150442477876,1.172540260073752,0.4043389380530986,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,4,10,113,83,30,73.45132743362832,1.1227274212156075,0.3158433628318596,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,4,20,113,95,18,84.070796460177,1.0988537584779772,0.29814424778761195,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,4,50,113,103,10,91.1504424778761,1.0079105520476335,0.028233628318582407,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,4,100,113,104,9,92.03539823008849,1.297619333620778,0.8331982300884909,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,4,200,113,104,9,92.03539823008849,1.1824414417554379,0.5605035398230007,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,5,1,113,26,87,23.008849557522122,1.4252839080459867,0.32743097345133476,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,5,2,113,34,79,30.08849557522124,1.031644303797474,0.04424601769912294,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,5,3,113,44,69,38.93805309734513,1.0289845410628062,0.053095575221246805,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,5,4,113,48,65,42.47787610619469,0.8961530769230804,-0.23893982300884162,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,5,5,113,58,55,51.32743362831859,1.0290901818181848,0.07079469026549465,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,5,8,113,73,40,64.60176991150442,1.1239856845779954,0.34322035398230444,113,83.1858407079646,2.350209907333294,5.875692920354001
